FID_1,geometry,Join_Count,PREF,CITY1,CITY2,FirstDate,LastDate,radiation,Elev
55,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.66669 140.87738,37.66384 140.88098,37.66384 140.88098,37.66669</coordinates></LinearRing></outerBoundaryIs></Polygon>",27,福島県,,南相馬市,2017/08/06 01:01:17,2017/08/06 01:26:05,0.33889,92
56,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.69797 140.87738,37.69513 140.88098,37.69513 140.88098,37.69797</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,福島県,,南相馬市,2017/07/15 23:13:20,2017/07/15 23:13:34,0.23462,131
57,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.70081 140.87738,37.69797 140.88098,37.69797 140.88098,37.70081</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,福島県,,南相馬市,2017/07/15 23:13:54,2017/07/15 23:14:19,0.34000,171
58,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.70366 140.87738,37.70081 140.88098,37.70081 140.88098,37.70366</coordinates></LinearRing></outerBoundaryIs></Polygon>",16,福島県,,南相馬市,2017/07/15 23:14:36,2017/07/15 23:14:59,0.33813,201
59,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.70650 140.87738,37.70366 140.88098,37.70366 140.88098,37.70650</coordinates></LinearRing></outerBoundaryIs></Polygon>",16,福島県,,南相馬市,2017/07/15 23:15:21,2017/07/15 23:17:15,0.33375,186
60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.70934 140.87738,37.70650 140.88098,37.70650 140.88098,37.70934</coordinates></LinearRing></outerBoundaryIs></Polygon>",27,福島県,,南相馬市,2017/07/15 23:17:16,2017/07/15 23:17:46,0.25815,157
61,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.71218 140.87738,37.70934 140.88098,37.70934 140.88098,37.71218</coordinates></LinearRing></outerBoundaryIs></Polygon>",30,福島県,,南相馬市,2017/07/15 23:17:47,2017/07/15 23:18:20,0.23767,133
62,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.72355 140.87738,37.72071 140.88098,37.72071 140.88098,37.72355</coordinates></LinearRing></outerBoundaryIs></Polygon>",157,福島県,,南相馬市,2017/07/15 23:42:15,2017/07/15 23:49:36,0.12752,64
63,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.87738,37.72640 140.87738,37.72355 140.88098,37.72355 140.88098,37.72640</coordinates></LinearRing></outerBoundaryIs></Polygon>",111,福島県,,南相馬市,2017/07/15 23:23:41,2017/07/15 23:51:59,0.11324,66
64,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88098,37.66669 140.88098,37.66384 140.88457,37.66384 140.88457,37.66669</coordinates></LinearRing></outerBoundaryIs></Polygon>",24,福島県,,南相馬市,2017/08/06 01:00:55,2017/08/06 01:26:24,0.33167,86
65,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88098,37.69513 140.88098,37.69228 140.88457,37.69228 140.88457,37.69513</coordinates></LinearRing></outerBoundaryIs></Polygon>",25,福島県,,南相馬市,2017/07/15 23:12:37,2017/07/15 23:13:09,0.26120,122
66,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88098,37.69797 140.88098,37.69513 140.88457,37.69513 140.88457,37.69797</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,福島県,,南相馬市,2017/07/15 23:13:10,2017/07/15 23:13:19,0.26900,127
67,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88098,37.71218 140.88098,37.70934 140.88457,37.70934 140.88457,37.71218</coordinates></LinearRing></outerBoundaryIs></Polygon>",6,福島県,,南相馬市,2017/07/15 23:18:21,2017/07/15 23:18:27,0.22667,120
68,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88098,37.71503 140.88098,37.71218 140.88457,37.71218 140.88457,37.71503</coordinates></LinearRing></outerBoundaryIs></Polygon>",27,福島県,,南相馬市,2017/07/15 23:18:28,2017/07/15 23:19:02,0.19556,102
69,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88098,37.71787 140.88098,37.71503 140.88457,37.71503 140.88457,37.71787</coordinates></LinearRing></outerBoundaryIs></Polygon>",4,福島県,,南相馬市,2017/07/15 23:19:09,2017/07/15 23:19:12,0.22000,93
70,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88098,37.72071 140.88098,37.71787 140.88457,37.71787 140.88457,37.72071</coordinates></LinearRing></outerBoundaryIs></Polygon>",48,福島県,,南相馬市,2017/07/15 23:45:54,2017/07/15 23:46:47,0.14208,65
71,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88098,37.72355 140.88098,37.72071 140.88457,37.72071 140.88457,37.72355</coordinates></LinearRing></outerBoundaryIs></Polygon>",9,福島県,,南相馬市,2017/07/15 23:46:48,2017/07/15 23:46:59,0.12889,65
72,"<Polygon><outerBoundaryIs><LinearRing><coordinates>140.88098,37.72640 140.88098,37.72355 140.88457,37.72355 140.88457,37.72640</coordinates></LinearRing></outerBoundaryIs></Polygon>",67,福島県,,南相馬市,2017/07/15 23:23:14,2017/07/15 23:52:28,0.12776,62
